Date	Hour	operator1	Sonar5_filter	Sonar5	data_cleaning	data_work_HV_hall_filtre	data_work_HV_taille	data_work_HV_hydrophyte	data_work_HV_sup3.8m	data_work_HV_taille_et_3m
2021-01-06	18	0	0	0	0	0	0	0	0	0
2021-01-06	19	4	4	7	3	3	6	3	4	6
2021-01-06	20	0	0	0	0	0	0	0	0	0
2021-01-06	21	0	0	0	0	0	0	0	0	0
2021-01-06	22	0	0	0	0	0	0	0	0	0
2021-01-06	23	0	1	1	0	0	0	0	0	0
2021-01-07	0	0	0	0	0	0	0	0	0	0
2021-01-07	1	0	0	0	0	0	0	0	0	0
2021-01-07	2	0	0	0	0	0	0	0	0	0
2021-01-07	3	0	0	0	0	0	0	0	0	0
2021-01-07	4	0	0	0	0	0	0	0	0	0
2021-01-07	5	0	0	0	0	0	0	0	0	0
2021-01-07	6	0	0	0	0	0	0	0	0	0
2021-01-07	7	0	0	0	0	0	0	0	0	0
2021-01-07	8	0	0	0	0	0	0	0	0	0
2021-01-07	9	0	0	0	0	0	0	0	0	0
2021-01-07	10	0	0	0	0	0	0	0	0	0
2021-01-07	11	0	0	0	0	0	0	0	0	0
2021-01-07	12	0	3	7	0	0	4	3	0	3
2021-01-07	13	0	32	61	0	7	29	22	8	15
2021-01-07	14	0	0	0	0	0	0	0	0	0
2021-01-07	15	0	0	0	0	0	0	0	0	0
2021-01-07	16	0	0	0	0	0	0	0	0	0
2021-01-07	17	13	6	12	6	6	10	6	7	10
2021-01-07	18	5	3	3	3	3	3	3	3	3
2021-01-07	19	8	7	10	6	6	9	6	6	9
2021-01-07	20	4	2	2	3	3	3	3	3	3
2021-01-07	21	8	2	2	2	2	2	2	2	2
2021-01-07	22	2	1	1	1	1	1	1	1	1
2021-01-07	23	0	0	0	0	0	0	0	0	0
2021-01-08	0	0	0	0	0	0	0	0	0	0
2021-01-08	1	3	0	0	0	0	0	0	0	0
2021-01-08	2	1	1	1	1	1	1	1	1	1
2021-01-08	3	7	0	1	0	0	1	0	1	1
2021-01-08	4	0	0	0	0	0	0	0	0	0
2021-01-08	5	0	0	1	0	0	1	0	0	1
2021-01-08	6	0	2	2	0	1	1	1	1	1
2021-01-08	7	0	0	0	0	0	0	0	0	0
2021-01-08	8	0	22	57	0	3	23	17	3	12
2021-01-08	9	0	0	0	0	0	0	0	0	0
2021-01-08	10	0	3	3	0	3	3	3	3	3
2021-01-08	11	0	3	8	0	0	2	2	0	2
2021-01-08	12	0	0	6	0	0	0	0	0	0
2021-01-08	13	0	18	39	0	1	21	14	2	10
2021-01-08	14	0	2	3	0	0	2	2	0	2
2021-01-08	15	0	0	8	0	0	2	0	0	2
2021-01-08	16	0	0	0	0	0	0	0	0	0
2021-01-08	17	0	0	0	0	0	0	0	0	0
2021-01-08	18	0	0	0	0	0	0	0	0	0
2021-01-08	19	2	3	3	3	3	3	3	3	3
2021-01-08	20	0	0	0	0	0	0	0	0	0
2021-01-08	21	1	4	4	3	3	3	3	3	3
2021-01-08	22	0	0	0	0	0	0	0	0	0
2021-01-08	23	2	0	0	0	0	0	0	0	0
2021-01-09	0	1	0	0	0	0	0	0	0	0
2021-01-09	1	2	1	1	1	1	1	1	1	1
2021-01-09	2	0	0	0	0	0	0	0	0	0
2021-01-09	3	5	2	2	2	2	2	2	2	2
2021-01-09	4	0	0	0	0	0	0	0	0	0
2021-01-09	5	0	0	0	0	0	0	0	0	0
2021-01-09	6	0	0	0	0	0	0	0	0	0
2021-01-09	7	0	0	0	0	0	0	0	0	0
2021-01-09	8	0	0	0	0	0	0	0	0	0
2021-01-09	9	0	0	0	0	0	0	0	0	0
2021-01-09	10	0	0	0	0	0	0	0	0	0
2021-01-09	11	0	0	0	0	0	0	0	0	0
2021-01-09	12	0	0	0	0	0	0	0	0	0
2021-01-09	13	0	0	0	0	0	0	0	0	0
2021-01-09	14	0	0	0	0	0	0	0	0	0
2021-01-09	15	0	0	0	0	0	0	0	0	0
2021-01-09	16	0	0	0	0	0	0	0	0	0
2021-01-09	17	0	0	0	0	0	0	0	0	0
2021-01-09	18	0	0	0	0	0	0	0	0	0
2021-01-09	19	3	0	1	0	0	1	0	1	1
2021-01-09	20	0	0	0	0	0	0	0	0	0
2021-01-09	21	0	0	0	0	0	0	0	0	0
2021-01-09	22	0	0	0	0	0	0	0	0	0
2021-01-09	23	2	6	10	4	5	7	5	6	7
2021-01-10	0	0	0	0	0	0	0	0	0	0
2021-01-10	1	0	0	0	0	0	0	0	0	0
2021-01-10	2	0	0	0	0	0	0	0	0	0
2021-01-10	3	1	0	4	0	0	0	0	0	0
2021-01-10	4	0	0	0	0	0	0	0	0	0
2021-01-10	5	0	0	0	0	0	0	0	0	0
2021-01-10	6	0	0	0	0	0	0	0	0	0
2021-01-10	7	0	0	0	0	0	0	0	0	0
2021-01-10	8	0	0	0	0	0	0	0	0	0
2021-01-10	9	1	0	0	0	0	0	0	0	0
2021-01-10	10	0	0	0	0	0	0	0	0	0
2021-01-10	11	0	0	0	0	0	0	0	0	0
2021-01-10	12	0	0	0	0	0	0	0	0	0
2021-01-10	13	0	0	0	0	0	0	0	0	0
2021-01-10	14	0	0	0	0	0	0	0	0	0
2021-01-10	15	0	0	0	0	0	0	0	0	0
2021-01-10	16	0	0	0	0	0	0	0	0	0
2021-01-10	17	0	0	0	0	0	0	0	0	0
2021-01-10	18	0	0	0	0	0	0	0	0	0
2021-01-10	19	0	0	0	0	0	0	0	0	0
2021-01-10	20	0	0	0	0	0	0	0	0	0
2021-01-10	21	0	0	0	0	0	0	0	0	0
2021-01-10	22	0	0	0	0	0	0	0	0	0
2021-01-10	23	0	0	0	0	0	0	0	0	0
2021-01-11	0	0	0	0	0	0	0	0	0	0
2021-01-11	1	0	0	0	0	0	0	0	0	0
2021-01-11	2	0	0	0	0	0	0	0	0	0
2021-01-11	3	0	0	0	0	0	0	0	0	0
2021-01-11	4	0	0	0	0	0	0	0	0	0
2021-01-11	5	0	0	0	0	0	0	0	0	0
2021-01-11	6	1	0	0	0	0	0	0	0	0
2021-01-11	7	0	0	0	0	0	0	0	0	0
2021-01-11	8	0	0	0	0	0	0	0	0	0
2021-01-11	9	0	0	0	0	0	0	0	0	0
2021-01-11	10	0	0	0	0	0	0	0	0	0
2021-01-11	11	0	0	0	0	0	0	0	0	0
2021-01-11	12	0	0	0	0	0	0	0	0	0
2021-01-11	13	0	0	0	0	0	0	0	0	0
2021-01-11	14	0	0	0	0	0	0	0	0	0
2021-01-11	15	0	0	0	0	0	0	0	0	0
2021-01-11	16	0	0	0	0	0	0	0	0	0
2021-01-11	17	0	0	0	0	0	0	0	0	0
2021-01-11	18	0	0	0	0	0	0	0	0	0
2021-01-11	19	0	0	0	0	0	0	0	0	0
2021-01-11	20	0	0	0	0	0	0	0	0	0
2021-01-11	21	0	0	0	0	0	0	0	0	0
2021-01-11	22	0	0	0	0	0	0	0	0	0
2021-01-11	23	0	0	0	0	0	0	0	0	0
2021-01-12	0	0	0	0	0	0	0	0	0	0
2021-01-12	1	0	0	0	0	0	0	0	0	0
2021-01-12	2	0	0	0	0	0	0	0	0	0
2021-01-12	3	0	0	0	0	0	0	0	0	0
2021-01-12	4	0	0	0	0	0	0	0	0	0
2021-01-12	5	0	0	0	0	0	0	0	0	0
2021-01-12	6	0	0	0	0	0	0	0	0	0
2021-01-12	7	0	0	0	0	0	0	0	0	0
2021-01-12	8	0	0	0	0	0	0	0	0	0
2021-01-12	9	0	0	0	0	0	0	0	0	0
2021-01-12	10	0	0	0	0	0	0	0	0	0
2021-01-12	11	0	0	0	0	0	0	0	0	0
2021-01-12	12	0	0	0	0	0	0	0	0	0
2021-01-12	13	0	0	0	0	0	0	0	0	0
2021-01-12	14	0	0	0	0	0	0	0	0	0
2021-01-12	15	0	0	0	0	0	0	0	0	0
2021-01-12	16	0	0	0	0	0	0	0	0	0
2021-01-12	17	0	0	0	0	0	0	0	0	0
2021-01-12	18	0	0	0	0	0	0	0	0	0
2021-01-12	19	0	0	0	0	0	0	0	0	0
2021-01-12	20	0	0	0	0	0	0	0	0	0
2021-01-12	21	12	8	8	7	4	8	4	8	8
2021-01-12	22	1	1	1	0	0	0	0	0	0
2021-01-12	23	0	0	0	0	0	0	0	0	0
2021-01-13	0	0	0	0	0	0	0	0	0	0
2021-01-13	1	0	0	0	0	0	0	0	0	0
2021-01-13	2	0	0	0	0	0	0	0	0	0
2021-01-13	3	0	0	0	0	0	0	0	0	0
2021-01-13	4	0	0	0	0	0	0	0	0	0
2021-01-13	5	0	0	0	0	0	0	0	0	0
2021-01-13	6	0	0	0	0	0	0	0	0	0
2021-01-13	7	0	0	0	0	0	0	0	0	0
2021-01-13	8	0	0	0	0	0	0	0	0	0
2021-01-13	9	0	0	0	0	0	0	0	0	0
2021-01-13	10	0	0	0	0	0	0	0	0	0
2021-01-13	11	0	0	0	0	0	0	0	0	0
2021-01-13	12	0	0	0	0	0	0	0	0	0
2021-01-13	13	0	0	0	0	0	0	0	0	0
2021-01-13	14	0	0	0	0	0	0	0	0	0
2021-01-13	15	0	0	0	0	0	0	0	0	0
2021-01-13	16	0	0	0	0	0	0	0	0	0
2021-01-13	17	0	0	0	0	0	0	0	0	0
2021-01-13	18	0	0	0	0	0	0	0	0	0
2021-01-13	19	0	0	0	0	0	0	0	0	0
2021-01-13	20	0	0	0	0	0	0	0	0	0
2021-01-13	21	0	0	0	0	0	0	0	0	0
2021-01-13	22	1	0	0	10	0	0	0	0	0
2021-01-13	23	0	0	0	0	0	0	0	0	0
2021-01-14	0	0	0	0	0	0	0	0	0	0
2021-01-14	1	0	0	0	0	0	0	0	0	0
2021-01-14	2	0	0	0	0	0	0	0	0	0
2021-01-14	3	0	0	0	0	0	0	0	0	0
2021-01-14	4	0	0	0	0	0	0	0	0	0
2021-01-14	5	0	0	0	0	0	0	0	0	0
2021-01-14	6	0	0	0	0	0	0	0	0	0
2021-01-14	7	0	0	0	0	0	0	0	0	0
2021-01-14	8	0	0	0	0	0	0	0	0	0
2021-01-14	9	0	0	0	0	0	0	0	0	0
2021-01-14	10	0	0	0	0	0	0	0	0	0
2021-01-14	11	0	0	0	0	0	0	0	0	0
2021-01-14	12	0	0	0	0	0	0	0	0	0
2021-01-14	13	0	0	0	0	0	0	0	0	0
2021-01-14	14	0	0	0	0	0	0	0	0	0
2021-01-14	15	0	0	0	0	0	0	0	0	0
2021-01-14	16	0	0	0	0	0	0	0	0	0
2021-01-14	17	0	0	0	0	0	0	0	0	0
2021-01-14	18	0	0	0	0	0	0	0	0	0
2021-01-14	19	0	0	0	0	0	0	0	0	0
2021-01-14	20	0	0	0	0	0	0	0	0	0
2021-01-14	21	0	0	0	0	0	0	0	0	0
2021-01-14	22	0	0	0	0	0	0	0	0	0
2021-01-14	23	0	0	0	0	0	0	0	0	0
2021-01-15	0	0	0	0	0	0	0	0	0	0
2021-01-15	1	0	0	0	0	0	0	0	0	0
2021-01-15	2	0	0	0	0	0	0	0	0	0
2021-01-15	3	0	0	0	0	0	0	0	0	0
2021-01-15	4	0	0	0	0	0	0	0	0	0
2021-01-15	5	0	0	0	0	0	0	0	0	0
2021-01-15	6	0	0	0	0	0	0	0	0	0
2021-01-15	7	3	0	0	4	0	0	0	0	0
2021-01-15	8	0	0	0	0	0	0	0	0	0
2021-01-15	9	0	0	0	0	0	0	0	0	0
2021-01-15	10	0	0	0	0	0	0	0	0	0
2021-01-15	11	0	0	0	0	0	0	0	0	0
2021-01-15	12	0	0	0	0	0	0	0	0	0
2021-01-15	13	0	0	0	0	0	0	0	0	0
2021-01-15	14	0	0	0	0	0	0	0	0	0
2021-01-15	15	0	0	0	0	0	0	0	0	0
2021-01-15	16	0	0	0	0	0	0	0	0	0
2021-01-15	17	0	0	0	0	0	0	0	0	0
2021-01-15	18	0	0	0	0	0	0	0	0	0
2021-01-15	19	0	0	0	0	0	0	0	0	0
2021-01-15	20	0	0	0	0	0	0	0	0	0
2021-01-15	21	0	0	0	0	0	0	0	0	0
2021-01-15	22	0	0	0	0	0	0	0	0	0
2021-01-15	23	0	0	0	0	0	0	0	0	0
2021-01-16	0	0	0	0	0	0	0	0	0	0
2021-01-16	1	0	0	0	0	0	0	0	0	0
2021-01-16	2	0	0	0	0	0	0	0	0	0
2021-01-16	3	0	0	0	0	0	0	0	0	0
2021-01-16	4	0	0	0	0	0	0	0	0	0
2021-01-16	5	0	0	0	0	0	0	0	0	0
2021-01-16	6	0	0	0	0	0	0	0	0	0
2021-01-16	7	0	0	0	0	0	0	0	0	0
2021-01-16	8	0	0	0	0	0	0	0	0	0
2021-01-16	9	0	0	0	0	0	0	0	0	0
2021-01-16	10	0	0	0	0	0	0	0	0	0
2021-01-16	11	0	0	0	0	0	0	0	0	0
2021-01-16	12	0	0	0	0	0	0	0	0	0
2021-01-16	13	0	0	0	0	0	0	0	0	0
2021-01-16	14	0	0	0	0	0	0	0	0	0
2021-01-16	15	0	0	0	0	0	0	0	0	0
2021-01-16	16	0	0	0	0	0	0	0	0	0
2021-01-16	17	0	0	0	0	0	0	0	0	0
2021-01-16	18	0	0	0	0	0	0	0	0	0
2021-01-16	19	0	0	0	0	0	0	0	0	0
2021-01-16	20	0	0	0	0	0	0	0	0	0
2021-01-16	21	0	0	0	0	0	0	0	0	0
2021-01-16	22	0	0	0	0	0	0	0	0	0
2021-01-16	23	0	0	0	0	0	0	0	0	0
2021-01-17	0	0	0	0	0	0	0	0	0	0
2021-01-17	1	0	0	0	0	0	0	0	0	0
2021-01-17	2	1	1	2	1	1	1	1	1	1
2021-01-17	3	0	0	0	0	0	0	0	0	0
2021-01-17	4	0	0	0	0	0	0	0	0	0
2021-01-17	5	0	0	0	0	0	0	0	0	0
2021-01-17	6	0	0	0	0	0	0	0	0	0
2021-01-17	7	0	0	0	0	0	0	0	0	0
2021-01-17	8	0	0	0	0	0	0	0	0	0
2021-01-17	9	0	0	0	0	0	0	0	0	0
2021-01-17	10	0	0	0	0	0	0	0	0	0
2021-01-17	11	0	0	0	0	0	0	0	0	0
2021-01-17	12	0	0	0	0	0	0	0	0	0
2021-01-17	13	0	0	0	0	0	0	0	0	0
2021-01-17	14	0	0	0	0	0	0	0	0	0
2021-01-17	15	0	0	0	0	0	0	0	0	0
2021-01-17	16	0	0	0	0	0	0	0	0	0
2021-01-17	17	0	0	0	0	0	0	0	0	0
2021-01-17	18	0	0	0	0	0	0	0	0	0
2021-01-17	19	0	0	0	0	0	0	0	0	0
2021-01-17	20	0	0	0	0	0	0	0	0	0
2021-01-17	21	0	0	0	0	0	0	0	0	0
2021-01-17	22	1	3	3	3	2	3	2	3	3
2021-01-17	23	0	0	0	0	0	0	0	0	0
